,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ID,Item,Adicional 1,Adicional 2,Adicional 3,Variação,Tipo,Cat. ABC,Custo do Lote,Un. Por Lote,Custo de Produção (1 un.),Custo Total (1 un.)
,38,Cerveja Brahma Chopp Pilsen Lata 350 ml,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",1,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,39,Cerveja Amstel Puro Malte Lata 350 ml,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",1,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,40,Cerveja Heineken Long Neck 330 ml,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",1,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,41,Cerveja Skol Pilsen Lata 269 ml,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",1,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,42,Coca-Cola Zero PET 600 ml,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",1,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,43,Fanta Laranja PET 2 L,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",1,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,,,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,,,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,,,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,,,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,,,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
,,,,,,,,,"=IF(CaProdutos[[#This Row],[Item]] <> """", SUMIF(Ingredientes[Produto], ""="" & CaProdutos[[#This Row],[Item]], Ingredientes[preço]), """")",,"=IFERROR(CaProdutos[[#This Row],[Custo do Lote]] / CaProdutos[[#This Row],[Un. Por Lote]], """")","=IFERROR(SUMIF(Embalamento[Produto], ""="" & CaProdutos[[#This Row],[Item]], Embalamento[Preço]) + CaProdutos[[#This Row],[Custo de Produção (1 un.)]] / (1 - INDEX(ConfPrec[Despesas Variáveis], 1)), """")"
